#,Practice / Provider,Type,Specialty,Address,City,Phone,NPI,Motion,Tier,Status,Last Contact,Next Action,Notes
19,JAE HOON LEE MD INC,Org,Family/Geriatric,4221 Wilshire Blvd Ste 311,Los Angeles,323-917-5155,1548961204,Client,2,New,,Call — reach office manager,Mid-Wilshire FM.
20,DANIEL RHEEM MD INC,Org,Internal Medicine,505 S Virgil Ave Ste 101,Los Angeles,213-381-3630,1982133492,Client,2,New,,Call — reach office manager,Virgil/Koreatown IM.
21,"ERWINN MARTIN C SISTOZA, M.D.,INC",Org,IM / Geriatric,1711 W Temple St,Los Angeles,310-989-6107,1104016856,Client,2,New,,Call — reach office manager,Temple St medical row — multiple targets nearby.
22,"DWIGHT H. SMITH, M.D., INC",Org,Internal Medicine,1711 W Temple St,Los Angeles,213-413-0001,1942338876,Client,2,New,,Call — reach office manager,Same building as Sistoza — cluster visit.
23,DETERMINED MEDICAL INC,Org,Family/Geriatric,3415 S Sepulveda Blvd Ste 1000,Los Angeles,800-800-0211,1639948557,Client,2,New,,Call — reach office manager,West LA FM/geriatric.
24,HARMONIC MEDICAL GROUP OF SO CAL PC,Org,Family/Geriatric,11620 Wilshire Blvd Ste 600,Los Angeles,862-375-6089,1609638535,Client,2,New,,Call — reach office manager,West LA group.
25,GHODS INC,Org,Internal Medicine,955 Carrillo Dr Ste 300,Los Angeles,424-258-0124,1790344869,Client,2,New,,Call — reach office manager,Mid-City IM.
26,JUNO MEDICAL PRACTICE,Org,Family Medicine,205 N Market St,Inglewood,888-813-7317,1134802689,Client,2,New,,Call — reach office manager,"Inglewood FM — central line, screen for panel size."
27,AERICKS MEDICAL CLINIC INC,Org,Family Medicine,645 Aerick St Ste 2,Inglewood,310-810-1058,1982588737,Client,2,New,,Call — reach office manager,Inglewood FM.
28,ANDREW STEVEN CHAN,Ind,IM / Geriatric,1701 E Cesar E Chavez Ave,Los Angeles,323-226-1100,1104975507,Both,2,New,,Call — reach office manager,Boyle Heights geriatrician — client or partner.
29,DAVID C. CHANG,Ind,Family/Geriatric,4733 W Sunset Blvd,Los Angeles,323-783-4011,1801968136,Both,2,New,,Call — reach office manager,Silver Lake FM/geriatric.
30,ALTAMED,Org,IM / Geriatric,5425 Pomona Blvd,Los Angeles,323-725-8751,1871030718,Client,3,New,,Call — reach office manager,"Large FQHC system — long sales cycle, likely in-house program. Strategic/partner-channel only."
31,"CHAPARRAL MEDICAL GROUP, INC.",Org,Internal Medicine,1866 N Orange Grove Ave,Pomona,909-623-8796,1437111028,Client,3,New,,Call — reach office manager,Pomona group — outside core area; phone screen first.
32,MARIE ADACHI,Ind,IM / Geriatric,200 UCLA Medical Plz Ste 365A,Los Angeles,310-206-8272,1629496740,Partner,3,New,,Call — reach office manager,UCLA academic geriatrician — KOL / clinical-advisor or referral channel.
33,SUSAN LOUISE CHARETTE,Ind,IM / Geriatric,200 Medical Plaza,Los Angeles,310-206-8272,1447285341,Partner,3,New,,Call — reach office manager,UCLA geriatrics — advisor/referral channel.
34,STEVEN CHARLES CASTLE,Ind,IM / Geriatric,11301 Wilshire Blvd,Los Angeles,310-268-4671,1619069325,Partner,3,New,,Call — reach office manager,VA/academic geriatrician — advisor/referral.
35,MIRA CANTRELL,Ind,IM / Geriatric,11500 Nimitz Ave,Los Angeles,424-832-8268,1932147055,Partner,3,New,,Call — reach office manager,VA geriatrician — advisor/referral.
36,"JULIA K BAIL, NP",Ind,NP — Gerontology,200 Med Plz,Los Angeles,310-206-6232,1164592408,Partner,3,New,,Call — reach office manager,Gerontology NP — fits the NP/PA supervising-clinician partner model.
